backend,seed,ok,best_score,best_program_sha256,best_program_path,time_start,time_end,error
deepseek,0,True,-2091.0,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\deepseek\seed_0\best_program.txt,2026-03-03T03:59:57,2026-03-03T04:03:12,
deepseek,1,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\deepseek\seed_1\best_program.txt,2026-03-03T04:03:12,2026-03-03T04:06:03,
deepseek,2,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\deepseek\seed_2\best_program.txt,2026-03-03T04:06:03,2026-03-03T04:09:02,
deepseek,3,True,-2089.0,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\deepseek\seed_3\best_program.txt,2026-03-03T04:09:02,2026-03-03T04:11:58,
deepseek,4,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\deepseek\seed_4\best_program.txt,2026-03-03T04:11:58,2026-03-03T04:14:35,
qwen,0,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\qwen\seed_0\best_program.txt,2026-03-03T04:14:35,2026-03-03T04:26:35,
qwen,1,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\qwen\seed_1\best_program.txt,2026-03-03T04:26:35,2026-03-03T04:39:16,
qwen,2,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\qwen\seed_2\best_program.txt,2026-03-03T04:39:16,2026-03-03T04:51:11,
qwen,3,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\qwen\seed_3\best_program.txt,2026-03-03T04:51:11,2026-03-03T05:03:16,
qwen,4,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\qwen\seed_4\best_program.txt,2026-03-03T05:03:16,2026-03-03T05:15:24,
doubao,0,True,-2056.4,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\doubao\seed_0\best_program.txt,2026-03-03T05:15:24,2026-03-03T05:19:37,
doubao,1,True,-2046.2,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\doubao\seed_1\best_program.txt,2026-03-03T05:19:37,2026-03-03T05:23:42,
doubao,2,True,-2089.6,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\doubao\seed_2\best_program.txt,2026-03-03T05:23:42,2026-03-03T05:27:39,
doubao,3,True,-2042.4,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\doubao\seed_3\best_program.txt,2026-03-03T05:27:39,2026-03-03T05:32:06,
doubao,4,True,-2066.4,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260303_035951\replication\eoh_obp_single_3backends_20260303_035951_20260303_035954\doubao\seed_4\best_program.txt,2026-03-03T05:32:06,2026-03-03T05:36:14,
