method,phase,backend,seed,ok,best_score,best_program_sha256,best_program_path,time_start,time_end,error
replication,run,deepseek,0,True,-2091.6,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\deepseek\seed_0\best_program.txt,2026-03-04T19:51:32,2026-03-04T19:54:56,
replication,run,deepseek,1,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\deepseek\seed_1\best_program.txt,2026-03-04T19:54:56,2026-03-04T19:58:39,
replication,run,deepseek,2,True,-2091.4,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\deepseek\seed_2\best_program.txt,2026-03-04T19:58:39,2026-03-04T20:03:05,
replication,run,deepseek,3,True,-2091.4,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\deepseek\seed_3\best_program.txt,2026-03-04T20:03:05,2026-03-04T20:07:34,
replication,run,deepseek,4,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\deepseek\seed_4\best_program.txt,2026-03-04T20:07:34,2026-03-04T20:12:04,
replication,run,qwen,0,True,-2088.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\qwen\seed_0\best_program.txt,2026-03-04T20:12:04,2026-03-04T20:24:57,
replication,run,qwen,1,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\qwen\seed_1\best_program.txt,2026-03-04T20:24:57,2026-03-04T20:38:34,
replication,run,qwen,2,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\qwen\seed_2\best_program.txt,2026-03-04T20:38:34,2026-03-04T20:52:31,
replication,run,qwen,3,True,-2091.6,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\qwen\seed_3\best_program.txt,2026-03-04T20:52:31,2026-03-04T21:05:42,
replication,run,qwen,4,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\qwen\seed_4\best_program.txt,2026-03-04T21:05:42,2026-03-04T21:18:59,
replication,run,doubao,0,True,-2066.4,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\doubao\seed_0\best_program.txt,2026-03-04T21:18:59,2026-03-04T21:24:57,
replication,run,doubao,1,True,-2066.4,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\doubao\seed_1\best_program.txt,2026-03-04T21:24:57,2026-03-04T21:30:42,
replication,run,doubao,2,True,-2089.6,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\doubao\seed_2\best_program.txt,2026-03-04T21:30:42,2026-03-04T21:36:29,
replication,run,doubao,3,True,-2089.6,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\doubao\seed_3\best_program.txt,2026-03-04T21:36:29,2026-03-04T21:41:44,
replication,run,doubao,4,True,-2066.4,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\replication\eoh_obp_repro_3backends_20260304_195132\doubao\seed_4\best_program.txt,2026-03-04T21:41:44,2026-03-04T21:48:04,
random,run,,0,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\random\eoh_obp_random_router_3_20260304_214811\seed_0\best_program.txt,2026-03-04T21:48:11,2026-03-04T21:58:22,
random,run,,1,True,-2091.8,dc937b59892604f5a86ac96936cd7ff09e25f18ae6b758e8014a24c7fa039e91,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260304_195129\random\eoh_obp_random_router_3_20260304_214811\seed_1\best_program.txt,2026-03-04T21:58:22,2026-03-04T22:06:39,
