seed,ok,best_score,best_program_sha256,best_program_path,time_start,time_end,error
0,True,-2095.2,ef9366a5be48318e09a9cb3c004b2bab965af11863e1136b144b9beb9d934ef0,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\statistic_llmrouter\eoh_obp_llmrouter_train300_train2025_s10\seed_0\best_program.txt,2026-03-09T22:46:38,2026-03-09T22:59:00,
1,True,-2090.0,2d2e4336e54433571a87875e18876a4f0723bf124e3cb127981ef807c5438ae4,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\statistic_llmrouter\eoh_obp_llmrouter_train300_train2025_s10\seed_1\best_program.txt,2026-03-09T22:59:00,2026-03-09T23:10:27,
2,True,-2090.0,680cba2f63d28640d6e11b21490d2a01a351bfbbbc6fb497b348860205ff29b7,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\statistic_llmrouter\eoh_obp_llmrouter_train300_train2025_s10\seed_2\best_program.txt,2026-03-09T23:10:27,2026-03-09T23:22:16,
3,True,-2095.2,85048758b428c14fa61ec684f27ce0134c917e26ae3f94e7233e1cb003470bf3,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\statistic_llmrouter\eoh_obp_llmrouter_train300_train2025_s10\seed_3\best_program.txt,2026-03-09T23:22:16,2026-03-09T23:34:36,
4,True,-2090.0,86249b0213a11112ef3881a2bcd6170011da0bfdd279e64be3a5447fc45da2c8,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\statistic_llmrouter\eoh_obp_llmrouter_train300_train2025_s10\seed_4\best_program.txt,2026-03-09T23:34:36,2026-03-09T23:44:44,
5,True,-2095.2,1766ef1c07410fa6a6a5a63ed62b58163eae8854b035433802e62d043f85b3c0,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\statistic_llmrouter\eoh_obp_llmrouter_train300_train2025_s10\seed_5\best_program.txt,2026-03-09T23:44:44,2026-03-09T23:56:14,
6,True,-2095.2,88c6cbcf49fd2560293c92a3f12e51fe9a70643f2b58969c2355c0a3af2485ee,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\statistic_llmrouter\eoh_obp_llmrouter_train300_train2025_s10\seed_6\best_program.txt,2026-03-09T23:56:14,2026-03-10T00:07:44,
7,True,-2095.2,74777e165fc8492f6e0957a6a363600dbb94524ae9cba626ea433da9dea61f0c,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\statistic_llmrouter\eoh_obp_llmrouter_train300_train2025_s10\seed_7\best_program.txt,2026-03-10T00:07:44,2026-03-10T00:19:02,
8,True,-2090.0,533debe075189866017255e0239ed761d4b28fcfb89738af173cdafeb74edc32,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\statistic_llmrouter\eoh_obp_llmrouter_train300_train2025_s10\seed_8\best_program.txt,2026-03-10T00:19:02,2026-03-10T00:32:41,
9,True,-2095.2,6cd61861699ab10bf0ef33e79bb8a96cc159236104dd9b286a52d780fd7cd3a1,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\statistic_llmrouter\eoh_obp_llmrouter_train300_train2025_s10\seed_9\best_program.txt,2026-03-10T00:32:41,2026-03-10T00:45:13,
