seed,ok,best_score,best_program_sha256,best_program_path,time_start,time_end,error
0,True,-2092.6,d629c0a6f6e0f8ef46581b60697f6e9f5f7f8c4b855afa5d2f79148514608763,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\textgrad_router_delta\eoh_obp_textgrad_delta_train300_risk_train2024_s10\seed_0\best_program.txt,2026-03-10T01:46:15,2026-03-10T02:23:24,
1,True,-2090.0,eb7d565df81867aad22984d1fd71935a4cefc19760954ddfa3a5c26ea1d8af9a,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\textgrad_router_delta\eoh_obp_textgrad_delta_train300_risk_train2024_s10\seed_1\best_program.txt,2026-03-10T02:23:24,2026-03-10T02:38:39,
2,True,-2066.4,1eff47bd1f2fc05092e620b649980ae3323903d002f6b5658873600ca91b7f0c,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\textgrad_router_delta\eoh_obp_textgrad_delta_train300_risk_train2024_s10\seed_2\best_program.txt,2026-03-10T02:38:39,2026-03-10T02:53:12,
3,True,-2090.0,7ad1531052df37b547ed64eabcee74cf6e7f0209ded2b3b95c76718f8ffe93cb,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\textgrad_router_delta\eoh_obp_textgrad_delta_train300_risk_train2024_s10\seed_3\best_program.txt,2026-03-10T02:53:12,2026-03-10T03:08:50,
4,True,-2095.2,07c7d56973a662e964611835f7a59f223cc60ac7e1fef462db4dfa9ff55ab07b,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\textgrad_router_delta\eoh_obp_textgrad_delta_train300_risk_train2024_s10\seed_4\best_program.txt,2026-03-10T03:08:50,2026-03-10T03:20:48,
5,True,-2093.0,da7a551624da3c663147153a7e94d59670dcf2009b7a58352b875349c0a401a7,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\textgrad_router_delta\eoh_obp_textgrad_delta_train300_risk_train2024_s10\seed_5\best_program.txt,2026-03-10T03:20:48,2026-03-10T03:32:50,
6,True,-2092.6,bdf24578a11d8b57f039024f94f387c4a29b70ffe772447c46295eadf7fe3de5,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\textgrad_router_delta\eoh_obp_textgrad_delta_train300_risk_train2024_s10\seed_6\best_program.txt,2026-03-10T03:32:50,2026-03-10T03:45:12,
7,True,-2092.4,37d4992f67d94dc7d31cdd75b3792e9279d2d65e48ccacf3f34ee15ef3126f03,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\textgrad_router_delta\eoh_obp_textgrad_delta_train300_risk_train2024_s10\seed_7\best_program.txt,2026-03-10T03:45:12,2026-03-10T03:56:59,
8,True,-2092.8,12ed3c4d9c809367e0a3b712568313cc7cd9468797493ab30c34d7075e6dd21a,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\textgrad_router_delta\eoh_obp_textgrad_delta_train300_risk_train2024_s10\seed_8\best_program.txt,2026-03-10T03:56:59,2026-03-10T04:07:18,
9,True,-2095.2,819078bf8161f6988c9c0a875409decec73633a229207e14b29bc19d9ad3a7b0,E:\_university\大四上\FP\LLM4AD\LLM4AD\MLEOH_3llm\all_results\20260309_171809\textgrad_router_delta\eoh_obp_textgrad_delta_train300_risk_train2024_s10\seed_9\best_program.txt,2026-03-10T04:07:18,2026-03-10T04:18:56,
